location,state,type,so2,no2,rspm,spm,pm2_5,date,Year,Month,SOi,Noi,Rpi,SPMi,AQI,AQI_Range
Anklesvar,Gujarat,Industrial Areas,21.6,27.4,96.0,192.0,32.0,2009-12-09,2009.0,9.0,27.0,34.25,0.0,161.33333333333331,161.33333333333331,Poor
Anpara,Uttar Pradesh,Industrial Area,18.0,30.0,142.0,187.0,32.0,2015-12-31,2015.0,12.0,22.5,37.5,0.0,158.0,158.0,Poor
Asansol,West Bengal,Industrial Area,10.0,73.0,253.0,187.0,32.0,2015-12-30,2015.0,12.0,12.5,91.25,0.0,158.0,158.0,Poor
Assanora,Goa,"Residential, Rural and other Areas",4.0,10.0,75.0,187.0,23.0,2015-12-30,2015.0,12.0,5.0,12.5,0.0,158.0,158.0,Poor
Aurangabad,Maharashtra,"Residential, Rural and other Areas",27.0,59.0,161.0,187.0,32.0,2015-12-31,2015.0,12.0,33.75,73.75,0.0,158.0,158.0,Poor
Aurangabad (MS),Maharashtra,Residential and others,7.0,18.0,73.0,211.0,32.0,2009-12-31,2009.0,12.0,8.75,22.5,0.0,174.0,174.0,Poor
Baddi,Himachal Pradesh,"Residential, Rural and other Areas",2.0,22.0,166.0,187.0,32.0,2015-12-31,2015.0,12.0,2.5,27.5,0.0,158.0,158.0,Poor
Badlapur,Maharashtra,Industrial Area,28.0,72.0,133.0,187.0,32.0,2015-12-31,2015.0,12.0,35.0,90.0,0.0,158.0,158.0,Poor
Balasore,Odisha,Industrial Area,9.0,14.0,105.0,187.0,32.0,2015-12-28,2011.0,7.0,11.25,17.5,0.0,158.0,158.0,Poor
Bangalore,Karnataka,Sensitive Area,6.0,8.0,25.0,187.0,32.0,2015-12-31,2011.0,7.0,7.5,10.0,0.0,158.0,158.0,Poor
Bareilly,Uttar Pradesh,"Residential, Rural and other Areas",10.0,22.0,348.0,187.0,32.0,2015-12-29,2015.0,12.0,12.5,27.5,0.0,158.0,158.0,Poor
Baroda,Gujarat,Industrial Area,18.0,26.0,230.0,333.0,32.0,2004-12-31,2004.0,12.0,22.5,32.5,0.0,283.0,283.0,Unhealthy
Barrackpore,West Bengal,Industrial Area,8.0,54.0,122.0,187.0,95.0,2015-12-30,2015.0,12.0,10.0,67.5,0.0,158.0,158.0,Poor
Baruipur,West Bengal,Residential and others,8.0,22.0,267.0,187.0,32.0,2007-12-31,2007.0,12.0,10.0,27.5,0.0,158.0,158.0,Poor
Bathinda,Punjab,Industrial Area,5.0,14.0,103.0,187.0,32.0,2015-12-23,2015.0,12.0,6.25,17.5,0.0,158.0,158.0,Poor
Belgaum,Karnataka,Industrial Area,2.0,21.0,144.0,187.0,32.0,2015-12-29,2015.0,12.0,2.5,26.25,0.0,158.0,158.0,Poor
Berhampur,Odisha,"Residential, Rural and other Areas",2.0,19.0,105.0,187.0,56.0,2015-12-30,2015.0,12.0,2.5,23.75,0.0,158.0,158.0,Poor
Bharuch,Gujarat,RIRUO,13.0,21.0,83.0,187.0,30.0,2015-03-26,2015.0,3.0,16.25,26.25,0.0,158.0,158.0,Poor
Bhilai,Chhattisgarh,"Residential, Rural and other Areas",5.0,14.0,73.0,187.0,32.0,2015-12-31,2015.0,12.0,6.25,17.5,0.0,158.0,158.0,Poor
Bhilai Nagar,Chhattisgarh,Residential and others,6.0,18.0,93.0,169.0,32.0,2009-12-31,2009.0,12.0,7.5,22.5,0.0,146.0,146.0,Poor
Bhopal,Madhya Pradesh,"Residential, Rural and other Areas",2.0,14.0,130.0,187.0,32.0,2015-12-31,2015.0,12.0,2.5,17.5,0.0,158.0,158.0,Poor
Bhubaneshwar,Odisha,Residential and others,8.0,18.2,73.0,155.0,32.0,2009-12-10,2009.0,10.0,10.0,22.75,0.0,136.66666666666666,136.66666666666666,Poor
Bhubaneswar,Odisha,"Residential, Rural and other Areas",2.0,19.0,164.0,187.0,54.0,2015-12-31,2015.0,12.0,2.5,23.75,0.0,158.0,158.0,Poor
Bhuj,Gujarat,RIRUO,14.0,22.0,90.0,187.0,31.0,2015-03-26,2015.0,3.0,17.5,27.5,0.0,158.0,158.0,Poor
Bicholim,Goa,"Residential, Rural and other Areas",4.0,9.0,59.0,187.0,22.0,2015-12-30,2015.0,12.0,5.0,11.25,0.0,158.0,158.0,Poor
Bidar,Karnataka,"Residential, Rural and other Areas",6.0,13.0,58.0,187.0,32.0,2015-03-28,2015.0,3.0,7.5,16.25,0.0,158.0,158.0,Poor
Bijapur,Karnataka,"Residential, Rural and other Areas",2.0,20.0,132.0,187.0,32.0,2015-12-28,2015.0,12.0,2.5,25.0,0.0,158.0,158.0,Poor
Bilaspur,Chhattisgarh,"Residential, Rural and other Areas",7.0,25.0,108.0,187.0,32.0,2015-12-29,2015.0,12.0,8.75,31.25,0.0,158.0,158.0,Poor
Bombay,Maharashtra,"Residential, Rural and other Areas",6.5,35.2,90.0,162.0,32.0,2002-12-01,2011.0,7.0,8.125,44.00000000000001,0.0,141.33333333333331,141.33333333333331,Poor
Bongaigaon,Assam,"Residential, Rural and other Areas",6.0,13.0,81.0,187.0,32.0,2015-12-31,2015.0,12.0,7.5,16.25,0.0,158.0,158.0,Poor
Byrnihat,Meghalaya,Industrial Area,41.0,11.0,115.0,187.0,32.0,2015-08-26,2015.0,8.0,51.25,13.75,0.0,158.0,158.0,Poor
Calcutta,West Bengal,"Residential, Rural and other Areas",18.0,72.0,130.0,187.0,32.0,2014-12-30,2014.0,12.0,22.5,90.0,0.0,158.0,158.0,Poor
Champhai,Mizoram,"Residential, Rural and other Areas",2.0,5.0,29.0,187.0,32.0,2015-12-31,2015.0,12.0,2.5,6.25,0.0,158.0,158.0,Poor
Chandarpur,Maharashtra,"Residential, Rural and other Areas",8.5,25.3,90.0,187.0,32.0,2002-03-01,2011.0,7.0,10.625,31.625,0.0,158.0,158.0,Poor
Chandigarh,Chandigarh,"Residential, Rural and other Areas",2.0,60.0,116.0,187.0,32.0,2015-12-31,2015.0,12.0,2.5,75.0,0.0,158.0,158.0,Poor
Chandrapur,Maharashtra,"Residential, Rural and other Areas",12.0,41.0,104.0,187.0,32.0,2015-12-31,2011.0,7.0,15.0,51.25,0.0,158.0,158.0,Poor
